TotalRevenue,TotalRevenue_missing,TotalRevenue_imputed_median,TotalRevenue_log1p,TotalRevenue_zscore,TotalRevenue_iqr_outlier,CHURN,churn_binary
47.2,0,47.2,3.8753590210565547,-0.9843911519386586,0,No,0
47.33,0,47.33,3.8780524858569927,-0.9831320070512437,0,No,0
47.33,0,47.33,3.8780524858569927,-0.9831320070512437,0,No,0
47.33,0,47.33,3.8780524858569927,-0.9831320070512437,0,No,0
47.33,0,47.33,3.8780524858569927,-0.9831320070512437,0,No,0
47.33,0,47.33,3.8780524858569927,-0.9831320070512437,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.5,0,47.5,3.8815637979434374,-0.9814854329677012,0,No,0
47.6,0,47.6,3.883623530906448,-0.980516859977382,0,No,0
47.67,0,47.67,3.885062823845363,-0.9798388588841586,0,No,0
47.67,0,47.67,3.885062823845363,-0.9798388588841586,0,No,0
47.67,0,47.67,3.885062823845363,-0.9798388588841586,0,No,0
47.67,0,47.67,3.885062823845363,-0.9798388588841586,0,No,0
47.83,0,47.83,3.888344878073569,-0.978289142099648,0,No,0
47.83,0,47.83,3.888344878073569,-0.978289142099648,0,No,0
47.83,0,47.83,3.888344878073569,-0.978289142099648,0,No,0
47.83,0,47.83,3.888344878073569,-0.978289142099648,0,No,0
47.83,0,47.83,3.888344878073569,-0.978289142099648,0,No,0
48.0,0,48.0,3.8918202981106265,-0.9766425680161055,0,No,0
48.0,0,48.0,3.8918202981106265,-0.9766425680161055,0,No,0
48.17,0,48.17,3.895283681423848,-0.9749959939325629,0,No,0
48.17,0,48.17,3.895283681423848,-0.9749959939325629,0,No,0
48.17,0,48.17,3.895283681423848,-0.9749959939325629,0,No,0
48.17,0,48.17,3.895283681423848,-0.9749959939325629,0,No,0
48.17,0,48.17,3.895283681423848,-0.9749959939325629,0,No,0
48.33,0,48.33,3.8985324152456466,-0.9734462771480523,0,No,0
48.33,0,48.33,3.8985324152456466,-0.9734462771480523,0,No,0
48.33,0,48.33,3.8985324152456466,-0.9734462771480523,0,No,0
48.33,0,48.33,3.8985324152456466,-0.9734462771480523,0,No,0
48.5,0,48.5,3.901972669574645,-0.9717997030645097,0,No,0
48.5,0,48.5,3.901972669574645,-0.9717997030645097,0,No,0
48.5,0,48.5,3.901972669574645,-0.9717997030645097,0,No,0
48.5,0,48.5,3.901972669574645,-0.9717997030645097,0,No,0
48.5,0,48.5,3.901972669574645,-0.9717997030645097,0,No,0
48.67,0,48.67,3.905401129119259,-0.9701531289809672,0,No,0
48.67,0,48.67,3.905401129119259,-0.9701531289809672,0,No,0
48.67,0,48.67,3.905401129119259,-0.9701531289809672,0,No,0
48.67,0,48.67,3.905401129119259,-0.9701531289809672,0,No,0
48.67,0,48.67,3.905401129119259,-0.9701531289809672,0,No,0
48.83,0,48.83,3.908617212293313,-0.9686034121964565,0,No,0
48.83,0,48.83,3.908617212293313,-0.9686034121964565,0,No,0
48.83,0,48.83,3.908617212293313,-0.9686034121964565,0,No,0
48.83,0,48.83,3.908617212293313,-0.9686034121964565,0,No,0
48.83,0,48.83,3.908617212293313,-0.9686034121964565,0,No,0
49.0,0,49.0,3.912023005428146,-0.966956838112914,0,No,0
49.0,0,49.0,3.912023005428146,-0.966956838112914,0,No,0
49.0,0,49.0,3.912023005428146,-0.966956838112914,0,No,0
49.0,0,49.0,3.912023005428146,-0.966956838112914,0,No,0
49.0,0,49.0,3.912023005428146,-0.966956838112914,0,No,0
49.17,0,49.17,3.9154172384961616,-0.9653102640293715,0,No,0
49.17,0,49.17,3.9154172384961616,-0.9653102640293715,0,No,0
49.17,0,49.17,3.9154172384961616,-0.9653102640293715,0,No,0
49.17,0,49.17,3.9154172384961616,-0.9653102640293715,0,No,0
49.17,0,49.17,3.9154172384961616,-0.9653102640293715,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.33,0,49.33,3.9186013207882686,-0.9637605472448608,0,No,0
49.5,0,49.5,3.9219733362813143,-0.9621139731613183,0,Yes,1
49.5,0,49.5,3.9219733362813143,-0.9621139731613183,0,No,0
49.5,0,49.5,3.9219733362813143,-0.9621139731613183,0,No,0
49.5,0,49.5,3.9219733362813143,-0.9621139731613183,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.67,0,49.67,3.9253340194878183,-0.9604673990777758,0,No,0
49.83,0,49.83,3.928486731458811,-0.9589176822932651,0,No,0
49.83,0,49.83,3.928486731458811,-0.9589176822932651,0,No,0
49.83,0,49.83,3.928486731458811,-0.9589176822932651,0,No,0
50.0,0,50.0,3.9318256327243257,-0.9572711082097226,0,No,0
50.0,0,50.0,3.9318256327243257,-0.9572711082097226,0,No,0
50.0,0,50.0,3.9318256327243257,-0.9572711082097226,0,No,0
50.17,0,50.17,3.9351534228170006,-0.95562453412618,0,No,0
50.17,0,50.17,3.9351534228170006,-0.95562453412618,0,No,0
50.17,0,50.17,3.9351534228170006,-0.95562453412618,0,Yes,1
50.17,0,50.17,3.9351534228170006,-0.95562453412618,0,No,0
50.17,0,50.17,3.9351534228170006,-0.95562453412618,0,No,0
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,No,0
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,No,0
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,Yes,1
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,No,0
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,No,0
50.33,0,50.33,3.9382753765722116,-0.9540748173416694,0,No,0
50.5,0,50.5,3.9415818076696905,-0.9524282432581268,0,No,0
50.5,0,50.5,3.9415818076696905,-0.9524282432581268,0,No,0
50.5,0,50.5,3.9415818076696905,-0.9524282432581268,0,No,0
50.5,0,50.5,3.9415818076696905,-0.9524282432581268,0,No,0
50.5,0,50.5,3.9415818076696905,-0.9524282432581268,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.67,0,50.67,3.9448773422990935,-0.9507816691745843,0,No,0
50.83,0,50.83,3.947969132201615,-0.9492319523900737,0,No,0
50.83,0,50.83,3.947969132201615,-0.9492319523900737,0,No,0
50.83,0,50.83,3.947969132201615,-0.9492319523900737,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
51.0,0,51.0,3.9512437185814275,-0.9475853783065311,0,No,0
