ARPU,ARPU_missing,ARPU_imputed_median,ARPU_log1p,ARPU_zscore,ARPU_iqr_outlier,CHURN,churn_binary
8.03,0,8.03,2.200552367428894,-0.7192223815996666,0,No,0
9.63,0,9.63,2.363680192353857,-0.6491021561900678,0,No,0
8.03,0,8.03,2.200552367428894,-0.7192223815996666,0,No,0
6.88,0,6.88,2.064327903869788,-0.7696212936128155,0,No,0
9.63,0,9.63,2.363680192353857,-0.6491021561900678,0,No,0
24.17,0,24.17,3.2256528091472245,-0.011884607780340561,0,No,0
12.08,0,12.08,2.5710843460290524,-0.54173056103162,0,No,0
12.08,0,12.08,2.5710843460290524,-0.54173056103162,0,No,0
9.67,0,9.67,2.367436065313662,-0.6473491505548279,0,No,0
16.17,0,16.17,2.843163674909384,-0.3624857348283335,0,No,0
9.7,0,9.7,2.3702437414678603,-0.6460343963283979,0,No,0
24.25,0,24.25,3.228826155721369,-0.008378596509860706,0,No,0
16.17,0,16.17,2.843163674909384,-0.3624857348283335,0,No,0
16.17,0,16.17,2.843163674909384,-0.3624857348283335,0,No,0
12.17,0,12.17,2.5779415157551897,-0.53778629835233,0,No,0
8.11,0,8.11,2.209372711271867,-0.7157163703291866,0,No,0
16.22,0,16.22,2.8460714989995846,-0.3602944777842837,0,No,0
16.22,0,16.22,2.8460714989995846,-0.3602944777842837,0,No,0
12.17,0,12.17,2.5779415157551897,-0.53778629835233,0,No,0
16.28,0,16.28,2.8495497633759097,-0.35766496933142367,0,No,0
9.77,0,9.77,2.3767644911682972,-0.642966636466728,0,No,0
12.21,0,12.21,2.580974118534234,-0.5360332927170901,0,No,0
9.77,0,9.77,2.3767644911682972,-0.642966636466728,0,No,0
16.28,0,16.28,2.8495497633759097,-0.35766496933142367,0,No,0
12.25,0,12.25,2.583997552432231,-0.5342802870818502,0,No,0
16.33,0,16.33,2.8524391037275145,-0.3554737122873738,0,No,0
8.17,0,8.17,2.2159372862683733,-0.7130868618763266,0,No,0
24.5,0,24.5,3.2386784521643803,0.002577688710389074,0,No,0
16.33,0,16.33,2.8524391037275145,-0.3554737122873738,0,No,0
16.39,0,16.39,2.855895328366192,-0.35284420383451376,0,No,0
16.39,0,16.39,2.855895328366192,-0.35284420383451376,0,No,0
9.83,0,9.83,2.382320061012899,-0.640337128013868,0,No,0
49.17,0,49.17,3.9154172384961616,1.0837439142446375,1,No,0
24.59,0,24.59,3.2422016501716975,0.0065219513896789885,0,No,0
49.33,0,49.33,3.9186013207882686,1.0907559367855972,1,No,0
9.87,0,9.87,2.386006701133118,-0.638584122378628,0,No,0
12.33,0,12.33,2.5900171341906173,-0.5307742758113702,0,No,0
9.87,0,9.87,2.386006701133118,-0.638584122378628,0,No,0
12.33,0,12.33,2.5900171341906173,-0.5307742758113702,0,No,0
12.33,0,12.33,2.5900171341906173,-0.5307742758113702,0,No,0
8.22,0,8.22,2.2213750375685026,-0.7108956048322765,0,No,0
24.75,0,24.75,3.248434627109745,0.013533973930638854,0,Yes,1
12.38,0,12.38,2.5937610547000824,-0.5285830187673202,0,No,0
9.9,0,9.9,2.388762789235098,-0.637269368152198,0,No,0
16.5,0,16.5,2.8622008809294686,-0.3480234383376039,0,No,0
12.42,0,12.42,2.5967461315435356,-0.5268300131320803,0,No,0
12.42,0,12.42,2.5967461315435356,-0.5268300131320803,0,No,0
8.28,0,8.28,2.2278615467981093,-0.7082660963794167,0,No,0
12.42,0,12.42,2.5967461315435356,-0.5268300131320803,0,No,0
24.84,0,24.84,3.2519236789144013,0.01747823660992877,0,No,0
16.56,0,16.56,2.8656235882069705,-0.345393929884744,0,No,0
9.97,0,9.97,2.395164274287139,-0.6342016082905281,0,No,0
12.46,0,12.46,2.599722324216582,-0.5250770074968403,0,No,0
12.46,0,12.46,2.599722324216582,-0.5250770074968403,0,No,0
16.67,0,16.67,2.871868286331605,-0.34057316438783397,0,No,0
25.0,0,25.0,3.258096538021482,0.024490259150888635,0,No,0
5.0,0,5.0,1.791759469228055,-0.8520125584690937,0,No,0
12.54,0,12.54,2.605648267484129,-0.5215709962263604,0,No,0
12.54,0,12.54,2.605648267484129,-0.5215709962263604,0,No,0
12.54,0,12.54,2.605648267484129,-0.5215709962263604,0,Yes,1
25.09,0,25.09,3.261552099148637,0.028434521830178548,0,No,0
25.09,0,25.09,3.261552099148637,0.028434521830178548,0,No,0
25.17,0,25.17,3.2646137165420543,0.03194053310065856,0,No,0
16.78,0,16.78,2.8780742300857587,-0.33575239889092406,0,No,0
10.07,0,10.07,2.4042387467205457,-0.6298190942024282,0,Yes,1
12.58,0,12.58,2.60859812213055,-0.5198179905911204,0,No,0
12.58,0,12.58,2.60859812213055,-0.5198179905911204,0,No,0
