variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.25,0.12857142857142856,0.7431192660550459,0.07037358818418767,0.34914048606994663,0.5325228776409576,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.03434516859741953,81,1070,28,508
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.27,0.13242784380305603,0.7155963302752294,0.07296538821328344,0.3941908713692946,0.5437930954291229,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.04469092024550128,78,991,31,587
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.29,0.13382218148487626,0.6697247706422018,0.07433808553971487,0.43983402489626555,0.546839571632888,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.04669381478355524,73,909,36,669
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.31,0.13827655310621242,0.6330275229357798,0.07761529808773904,0.4902193242442205,0.5566912012651015,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.05582902939024198,69,820,40,758
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.33,0.1377049180327869,0.5779816513761468,0.07816377171215881,0.5323058684054535,0.5535662376018884,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.05272692111852602,63,743,46,835
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.35,0.13987730061349693,0.5229357798165137,0.08073654390934844,0.5844694724362774,0.555827839211172,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.055643022021782666,57,649,52,929
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.37,0.13186813186813187,0.44036697247706424,0.07754442649434572,0.6253704801422644,0.5392582644387856,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.04004948070604078,48,571,61,1007
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.39,0.13395638629283488,0.3944954128440367,0.08067542213883677,0.6704208654416123,0.5419878838618156,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.04440728506169916,43,490,66,1088
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.41,0.13993174061433447,0.3761467889908257,0.0859538784067086,0.7012448132780082,0.5499238380949059,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.054507069761870135,41,436,68,1142
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.43,0.14615384615384616,0.3486238532110092,0.09245742092457421,0.7368109069353883,0.5561243473913093,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.06428383830750437,38,373,71,1205
