variant,model,train_data,selected_threshold,validation_f1,validation_recall,validation_precision,validation_pr_auc,validation_mcc,test_oracle_threshold,test_oracle_f1,test_oracle_recall,test_oracle_precision,test_f1,test_recall,test_precision,test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_average_precision,test_mcc,test_tp,test_fp,test_fn,test_tn,error
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.53,0.1716171617161716,0.23853211009174313,0.13402061855670103,0.09712185262801959,0.10177341389698927,0.47,0.14492753623188406,0.27522935779816515,0.09836065573770492,0.1152542372881356,0.1559633027522936,0.0913978494623656,0.8453791469194313,0.5244667685389081,0.5774471126191818,0.08129420850133193,0.08129420850133193,0.03840780470404879,17.0,169.0,92.0,1410.0,
without_billing_zip,GradientBoosting_SMOTE_depth2_lr0.05,resampled,0.45,0.15178571428571427,0.1559633027522936,0.14782608695652175,0.0953145703740047,0.09155228950748714,0.39,0.13986013986013987,0.27522935779816515,0.09375,0.11152416356877323,0.13761467889908258,0.09375,0.8584123222748815,0.5228922032874134,0.5486226911702332,0.08902058554974239,0.08902058554974239,0.038414946710438734,15.0,145.0,94.0,1434.0,
without_billing_zip,BalancedBagging_tree_depthnone_leaf10,original,0.57,0.15803814713896458,0.26605504587155965,0.1124031007751938,0.09117959419591053,0.08260217791555566,0.51,0.14756671899529042,0.43119266055045874,0.08901515151515152,0.1111111111111111,0.1926605504587156,0.07806691449814127,0.8009478672985783,0.5177995595865459,0.5676220578580103,0.08268761435718718,0.08268761435718718,0.02390431090065016,21.0,248.0,88.0,1331.0,
without_billing_zip,CatBoost_native_depth4_lr0.03,native_categorical,0.55,0.14634146341463414,0.30275229357798167,0.09649122807017543,0.0875137597797204,0.06539004364607379,0.51,0.13871374527112232,0.5045871559633027,0.0804093567251462,0.10993657505285412,0.23853211009174313,0.07142857142857142,0.7505924170616114,0.5122362893713941,0.5471730453021597,0.08156702955124688,0.08156702955124688,0.0146247807554727,26.0,338.0,83.0,1241.0,
without_billing_zip,BalancedBagging_tree_depth5_leaf10,original,0.57,0.16463414634146342,0.24770642201834864,0.1232876712328767,0.09716417730826432,0.09218651097270089,0.51,0.14585908529048208,0.5412844036697247,0.08428571428571428,0.1065989847715736,0.1926605504587156,0.07368421052631578,0.7914691943127962,0.5127330618031387,0.5538489695603419,0.07975915446173493,0.07975915446173493,0.01670767009273758,21.0,264.0,88.0,1315.0,
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.61,0.15770609318996415,0.2018348623853211,0.12941176470588237,0.10171446670912218,0.08823790683704205,0.57,0.13596491228070176,0.28440366972477066,0.0893371757925072,0.10077519379844961,0.11926605504587157,0.087248322147651,0.8625592417061612,0.5165677963639744,0.5609112723765477,0.07872496921447267,0.07872496921447267,0.028706920956500404,13.0,136.0,96.0,1443.0,
with_billing_zip,ExtraTrees_balanced_depth5,original,0.57,0.1693548387096774,0.1926605504587156,0.1510791366906475,0.1003052496135579,0.10539564253887203,0.45,0.13210702341137123,0.7247706422018348,0.07267709291628335,0.10062893081761007,0.14678899082568808,0.07655502392344497,0.830568720379147,0.5122798659004945,0.552041996153645,0.07586215532920695,0.07586215532920695,0.018326127502227053,16.0,193.0,93.0,1386.0,
without_billing_zip,HistGradientBoosting_balanced_lr0.03,original,0.53,0.14545454545454545,0.29357798165137616,0.09667673716012085,0.08465162738181002,0.06444121724119191,0.35,0.13090909090909092,0.6605504587155964,0.07265388496468214,0.09156626506024096,0.1743119266055046,0.06209150326797386,0.7766587677725119,0.4962756593128853,0.5186536595569139,0.07123792615664369,0.07123792615664369,-0.00475191842321134,19.0,287.0,90.0,1292.0,
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.61,0.15384615384615385,0.1926605504587156,0.12804878048780488,0.1021883969697395,0.0846765669616848,0.57,0.15242494226327943,0.30275229357798167,0.10185185185185185,0.08097165991902834,0.09174311926605505,0.07246376811594203,0.865521327014218,0.5053395773657698,0.5649493640731854,0.08017116359312809,0.08017116359312809,0.009579344694249531,10.0,128.0,99.0,1451.0,
without_billing_zip,LinearSVC_balanced_C0.1,original,0.29,0.16393442622950818,0.13761467889908258,0.20270270270270271,0.10107085691556045,0.12031292288869444,0.15,0.14150943396226415,0.27522935779816515,0.09523809523809523,0.056818181818181816,0.045871559633027525,0.07462686567164178,0.9016587677725119,0.5033031009058108,0.553538123652759,0.0781243690391569,0.0781243690391569,0.008316244360361914,5.0,62.0,104.0,1517.0,
with_billing_zip,RidgeClassifier_balanced_alpha0.3,original,0.25,0.16379310344827586,0.1743119266055046,0.15447154471544716,0.09702486647270939,0.10250569661670329,0.15,0.13365155131264916,0.25688073394495414,0.09032258064516129,0.05660377358490566,0.05504587155963303,0.05825242718446602,0.8815165876777251,0.49680729296791026,0.5537589114002011,0.07576479184249826,0.07576479184249826,-0.006556319855317117,6.0,97.0,103.0,1482.0,
with_billing_zip,LinearSVC_balanced_C0.1,original,0.29,0.1717171717171717,0.1559633027522936,0.19101123595505617,0.10171001476832708,0.12133896972524501,0.15,0.14485981308411214,0.28440366972477066,0.09717868338557993,0.0446927374301676,0.03669724770642202,0.05714285714285714,0.898696682464455,0.49744932049665624,0.5586452928633265,0.0773676360128699,0.0773676360128699,-0.006288570343780125,4.0,66.0,105.0,1513.0,
with_billing_zip,AdaBoost_balanced_stump,original,,,,,,,,,,,,,,,,,,,,,,,,"ValueError('BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.')"
without_billing_zip,AdaBoost_balanced_stump,original,,,,,,,,,,,,,,,,,,,,,,,,"ValueError('BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.')"
