experiment,variant,zip_mode,ka_mode,transform_mode,include_extended_interactions,feature_count,model,train_kind,evaluation,threshold,test_rows,test_positives,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,validation_threshold,validation_f1,validation_recall,validation_precision,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_pr_auc,validation_mcc,validation_tp,validation_fp,validation_fn,validation_tn,threshold_selection_strategy,min_recall_constraint
paper_ablation_benchmark,extended_zip_top50_log_sqrt_ka_research,top_n,research_full,log_revenue_sqrt_subscribers,True,29,LogisticRegression_SMOTE,resampled,validation_threshold,0.44,1688,109,0.14122137404580154,0.3394495412844037,0.0891566265060241,0.7334123222748815,0.5500287605092062,0.5671804823631261,0.08504088634702063,0.05711047898208344,37,378,72,1201,0.44,0.14671814671814673,0.3486238532110092,0.09290953545232274,0.7379964433906343,0.5567580609527796,0.5660748130835688,0.08952446623190079,0.06511742420903358,38.0,371.0,71.0,1207.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log,encoded,label,log_revenue,False,20,LogisticRegression_SMOTE,resampled,validation_threshold,0.35,1688,109,0.13866039952996476,0.5412844036697247,0.07951482479784366,0.5657582938388626,0.5543660777056667,0.5592437438629723,0.07788219399401715,0.053841207382510116,59,683,50,896,0.35,0.16346153846153846,0.6238532110091743,0.09405255878284924,0.5874333135743924,0.6043854141230915,0.5918535830978711,0.08739207037900924,0.10371197316524712,68.0,655.0,41.0,923.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_ka_abstract,top_n,abstract,log_revenue_sqrt_subscribers,True,26,LogisticRegression_SMOTE,resampled,validation_threshold,0.35,1688,109,0.1378504672897196,0.5412844036697247,0.07898259705488621,0.5627962085308057,0.5527827971483519,0.5633806090255707,0.0802520240991777,0.05223620268259882,59,688,50,891,0.35,0.14251207729468598,0.5412844036697247,0.08205841446453407,0.5791345583876705,0.5615167265496912,0.5718857920256742,0.10068071633480938,0.06116286743572206,59.0,660.0,50.0,918.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log,encoded,label,log_revenue,False,20,EasyEnsemble_original,original,validation_threshold,0.54,1688,109,0.13592233009708737,0.3853211009174312,0.0825147347740668,0.683649289099526,0.5447821464055174,0.5598102387412774,0.088241120098598,0.04796488652675019,42,467,67,1112,0.54,0.17326732673267325,0.3211009174311927,0.11864406779661017,0.8020154119739182,0.5781676957244684,0.623385193195428,0.09703981668447091,0.10117970950724244,35.0,260.0,74.0,1318.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_top50_log,top_n,label,log_revenue,False,20,LogisticRegression_SMOTE,resampled,validation_threshold,0.33,1688,109,0.13390928725701945,0.5688073394495413,0.07588739290085679,0.5248815165876777,0.5453283055702425,0.5617886131624359,0.07794695294884117,0.04458447825769397,62,755,47,824,0.33,0.14822546972860126,0.6513761467889908,0.08362779740871613,0.5163011262596325,0.5791734979825816,0.5876327019453262,0.09065575156214514,0.07785754808616346,71.0,778.0,38.0,800.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log_ka_abstract,encoded,abstract,log_revenue,False,21,EasyEnsemble_original,original,validation_threshold,0.54,1688,109,0.13333333333333333,0.3853211009174312,0.08061420345489444,0.6765402843601895,0.540982273067962,0.5613993295024722,0.08904864879705329,0.04360899344657259,42,479,67,1100,0.54,0.1691542288557214,0.3119266055045872,0.11604095563139932,0.8020154119739182,0.5738973965419008,0.623507284799014,0.09709747731607826,0.09590929202652619,34.0,259.0,75.0,1319.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_interactions,top_n,label,log_revenue_sqrt_subscribers,True,25,BalancedBagging_original,original,validation_threshold,0.53,1688,109,0.13270142180094788,0.3853211009174312,0.08015267175572519,0.6747630331753555,0.5400323047335731,0.5669161180865836,0.1052926604972581,0.04253072343020939,42,482,67,1097,0.53,0.17073170731707318,0.44954128440366975,0.1053763440860215,0.7178423236514523,0.59295822141603,0.6061615562609737,0.09790574530154686,0.10228747790560294,49.0,416.0,60.0,1162.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_ka_abstract,top_n,abstract,log_revenue_sqrt_subscribers,True,26,BalancedBagging_original,original,validation_threshold,0.52,1688,109,0.13068181818181818,0.42201834862385323,0.0773109243697479,0.6374407582938388,0.5371649691187663,0.5731504668498818,0.10804894798736268,0.038238383285694545,46,549,63,1030,0.52,0.1715210355987055,0.48623853211009177,0.10412573673870335,0.6965026674570243,0.5986325740398367,0.6001819746282021,0.09947316004847925,0.10565391023166726,53.0,456.0,56.0,1122.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_no_zip_log,drop,label,log_revenue,False,19,BalancedBagging_original,original,validation_threshold,0.55,1688,109,0.13043478260869565,0.27522935779816515,0.08547008547008547,0.7630331753554502,0.5359680671194753,0.5596707938481562,0.08786053855018684,0.043564441203749076,30,321,79,1258,0.55,0.18004866180048662,0.3394495412844037,0.12251655629139073,0.8002371072910492,0.5857577237473983,0.6038534435646098,0.09324549765289634,0.10998706953762538,37.0,265.0,72.0,1313.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log_ka_abstract,encoded,abstract,log_revenue,False,21,LogisticRegression_SMOTE,resampled,validation_threshold,0.43,1688,109,0.1299638989169675,0.3302752293577982,0.08089887640449438,0.7144549763033176,0.535625265090552,0.5618002335701959,0.07908032632012563,0.03974448231036755,36,409,73,1170,0.43,0.15071283095723015,0.3394495412844037,0.0968586387434555,0.7528156490812092,0.5604091812885896,0.5883507168521296,0.10217690656112333,0.07096803111630964,37.0,345.0,72.0,1233.0,max_f1_with_min_recall_constraint,0.3
