case_label,variant,model,topk_pct,contacts,tp,fp,fn,tn,recall_at_k,precision_at_k,lift_vs_random,net_benefit,paper_multiple
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.15,253,25,228,84,1351,0.22935779816513763,0.09881422924901186,1.5302607245168074,53640.0,0.722911051212938
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.2,338,29,309,80,1270,0.26605504587155965,0.08579881656804733,1.3287009391455402,56880.0,0.7665768194070081
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.25,422,36,386,73,1193,0.3302752293577982,0.08530805687203792,1.3211009174311927,70320.0,0.9477088948787062
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.3,506,41,465,68,1114,0.3761467889908257,0.08102766798418973,1.2548137941037822,77040.0,1.0382749326145553
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.4,675,54,621,55,958,0.4954128440366973,0.08,1.2388990825688073,100440.0,1.3536388140161726
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.5,844,66,778,43,801,0.6055045871559633,0.07819905213270142,1.2110091743119267,120480.0,1.6237196765498652
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.75,1266,90,1176,19,403,0.8256880733944955,0.07109004739336493,1.1009174311926606,150480.0,2.028032345013477
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.05,84,9,75,100,1504,0.08256880733944955,0.10714285714285714,1.659239842726081,20160.0,0.27169811320754716
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.1,169,15,154,94,1425,0.13761467889908258,0.08875739644970414,1.3745182129091797,30120.0,0.4059299191374663
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.15,253,20,233,89,1346,0.1834862385321101,0.07905138339920949,1.224208579613446,36840.0,0.4964959568733154
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.2,338,22,316,87,1263,0.2018348623853211,0.0650887573964497,1.007980022800065,33360.0,0.4495956873315364
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.25,422,27,395,82,1184,0.24770642201834864,0.06398104265402843,0.9908256880733944,40080.0,0.5401617250673855
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.3,506,37,469,72,1110,0.3394495412844037,0.07312252964426877,1.1323929361424374,63600.0,0.8571428571428571
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.4,675,46,629,63,950,0.42201834862385323,0.06814814814814815,1.055358477743799,73560.0,0.9913746630727763
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.5,844,59,785,50,794,0.5412844036697247,0.06990521327014218,1.0825688073394495,96960.0,1.3067385444743935
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,0.75,1266,88,1178,21,401,0.8073394495412844,0.06951026856240126,1.0764525993883791,143760.0,1.9374663072776281
XGBoost_with_zip,with_billing_zip,XGBoost_SMOTE,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
