case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.48,92820.0,31,254,78,1325,0.28440366972477066,0.10877192982456141,0.15736040609137056
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.49,86970.0,29,233,80,1346,0.26605504587155965,0.11068702290076336,0.15633423180592992
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.5,87750.0,29,207,80,1372,0.26605504587155965,0.1228813559322034,0.1681159420289855
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.51,81900.0,27,186,82,1393,0.24770642201834864,0.1267605633802817,0.16770186335403728
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.52,76170.0,25,161,84,1418,0.22935779816513763,0.13440860215053763,0.1694915254237288
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.53,73320.0,24,148,85,1431,0.22018348623853212,0.13953488372093023,0.1708185053380783
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.54,57720.0,19,128,90,1451,0.1743119266055046,0.1292517006802721,0.1484375
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.55,51570.0,17,117,92,1462,0.1559633027522936,0.12686567164179105,0.13991769547325103
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.56,48630.0,16,107,93,1472,0.14678899082568808,0.13008130081300814,0.13793103448275862
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.57,42330.0,14,101,95,1478,0.12844036697247707,0.12173913043478261,0.125
