variant,model,train_kind,group_level,billing_zip_group,rows,positives,churn_rate,predicted_positives,predicted_positive_rate,tp,fp,fn,tn,f1,recall,precision,pr_auc,avg_score,overall_test_f1,overall_test_recall,f1_delta_vs_model_overall,recall_delta_vs_model_overall,support_flag
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6100,50,1,0.02,8,0.16,0,8,1,41,0.0,0.0,0.0,0.045454545454545456,0.3428580664362746,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4230,49,1,0.02040816326530612,4,0.08163265306122448,0,4,1,44,0.0,0.0,0.0,0.030303030303030304,0.34301930368541067,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4023,48,3,0.0625,6,0.125,1,5,2,40,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.1936026936026936,0.34149137432626003,0.1676300578034682,0.26605504587155965,0.054592164418754,0.06727828746177367,stable
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6600,46,3,0.06521739130434782,5,0.10869565217391304,2,3,1,40,0.5,0.6666666666666666,0.4,0.34444444444444444,0.3577317854326096,0.1676300578034682,0.26605504587155965,0.3323699421965318,0.400611620795107,stable
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4700,30,2,0.06666666666666667,5,0.16666666666666666,1,4,1,24,0.2857142857142857,0.5,0.2,0.2111111111111111,0.30718852648836387,0.1676300578034682,0.26605504587155965,0.11808422791081749,0.23394495412844035,stable
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6500,25,0,0.0,4,0.16,0,4,0,21,0.0,,0.0,,0.3562465905142597,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4500,23,1,0.043478260869565216,2,0.08695652173913043,0,2,1,20,0.0,0.0,0.0,0.05555555555555555,0.3533096670397558,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4300,22,0,0.0,2,0.09090909090909091,0,2,0,20,0.0,,0.0,,0.2848571036553586,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4600,21,2,0.09523809523809523,4,0.19047619047619047,1,3,1,16,0.3333333333333333,0.5,0.25,0.5625,0.3269596323796848,0.1676300578034682,0.26605504587155965,0.1657032755298651,0.23394495412844035,stable
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6450,19,2,0.10526315789473684,5,0.2631578947368421,2,3,0,14,0.5714285714285714,1.0,0.4,0.41666666666666663,0.3566739045051153,0.1676300578034682,0.26605504587155965,0.4037985136251032,0.7339449541284404,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4006,13,3,0.23076923076923078,0,0.0,0,0,3,10,0.0,0.0,,0.2554945054945055,0.2886071510159392,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4270,12,1,0.08333333333333333,1,0.08333333333333333,0,1,1,10,0.0,0.0,0.0,0.14285714285714285,0.3477727551135073,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4210,11,0,0.0,1,0.09090909090909091,0,1,0,10,0.0,,0.0,,0.3355916057836894,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4150,10,1,0.1,1,0.1,0,1,1,8,0.0,0.0,0.0,0.125,0.29837917684947246,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4550,9,0,0.0,1,0.1111111111111111,0,1,0,8,0.0,,0.0,,0.290500861664999,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4190,7,0,0.0,2,0.2857142857142857,0,2,0,5,0.0,,0.0,,0.369883569002873,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4001,6,1,0.16666666666666666,0,0.0,0,0,1,5,0.0,0.0,,0.3333333333333333,0.3666746304492268,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4020,6,0,0.0,0,0.0,0,0,0,6,,,,,0.29869258015955485,0.1676300578034682,0.26605504587155965,,,no_positive
