group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_value,6199,4,3,1,0,4,0.0,0.0,no_positive
zip_value,6362,4,4,0,0,4,0.0,0.0,no_positive
zip_value,6489,4,4,0,0,4,0.0,0.0,no_positive
zip_value,6850,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4018,3,3,0,2,1,0.6666666666666666,66.66666666666666,small_support
zip_value,4750,3,2,1,2,1,0.6666666666666666,66.66666666666666,small_support
zip_value,4201,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4212,3,2,1,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4250,3,2,1,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4601,3,1,2,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4602,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4644,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4830,3,1,2,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,4831,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,6050,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,6160,3,2,1,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,8200,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,8600,3,3,0,1,2,0.3333333333333333,33.33333333333333,small_support
zip_value,1404,3,3,0,0,3,0.0,0.0,no_positive
zip_value,1421,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4008,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4019,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4113,3,1,2,0,3,0.0,0.0,no_positive
zip_value,4134,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4144,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4202,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4228,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4231,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4271,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4288,3,1,2,0,3,0.0,0.0,no_positive
zip_value,4364,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4469,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4522,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4641,3,1,2,0,3,0.0,0.0,no_positive
zip_value,4702,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4710,3,2,1,0,3,0.0,0.0,no_positive
zip_value,4835,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4872,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4985,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6002,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6004,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6006,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6062,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6142,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6159,3,2,1,0,3,0.0,0.0,no_positive
