variant,model,scenario,fn_cost,fp_cost,tp_benefit,retention_rate,cost_ratio,theoretical_threshold,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.07,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.08,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.09,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.1,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.11,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.12,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.13,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.14,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.15,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.16,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.17,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.18,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
