column,column_ko,column_description,group_type,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4017,17,2,15,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4017_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4110,17,2,15,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4110_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4015,18,2,16,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4015_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4030,9,1,8,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4030_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,6570,9,1,8,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6570_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4006,57,6,51,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4006_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4199,19,2,17,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4199_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4013,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4013_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4124,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4124_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4218,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4218_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4409,10,1,9,0.1,0.9,10.0,90.0,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4409_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4230,244,24,220,0.09836065573770492,0.9016393442622951,9.836065573770492,90.1639344262295,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4230_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4600,115,11,104,0.09565217391304348,0.9043478260869565,9.565217391304348,90.43478260869566,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4600_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,6260,43,4,39,0.09302325581395349,0.9069767441860465,9.30232558139535,90.69767441860465,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6260_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4700,184,17,167,0.09239130434782608,0.907608695652174,9.239130434782608,90.76086956521739,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4700_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,6800,33,3,30,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6800_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4224,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4224_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4579,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4579_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,8900,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8900_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4330,23,2,21,0.08695652173913043,0.9130434782608695,8.695652173913043,91.30434782608695,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4330_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,6450,85,7,78,0.08235294117647059,0.9176470588235294,8.235294117647058,91.76470588235294,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6450_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4580,13,1,12,0.07692307692307693,0.9230769230769231,7.6923076923076925,92.3076923076923,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4580_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,4004,310,23,287,0.07419354838709677,0.9258064516129032,7.419354838709677,92.58064516129032,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4004_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,category_value,6600,232,17,215,0.07327586206896551,0.9267241379310345,7.327586206896551,92.67241379310344,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6600_churn.csv
