column,column_ko,column_description,value,rows,yes_count,no_count,churners,churn_rate,yes_rate,no_rate,yes_rate_percent,no_rate_percent,total_revenue_mean,arpu_mean,active_rate_mean,path
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4330,23,2,21,2,0.08695652173913043,0.08695652173913043,0.9130434782608695,8.695652173913043,91.30434782608695,125.79173913043476,34.95913043478261,0.8059288537549406,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4330_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6550,23,0,23,0,0.0,0.0,1.0,0.0,100.0,166.0991304347826,25.778695652173912,0.9004078650817782,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6550_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4800,22,4,18,4,0.18181818181818182,0.18181818181818182,0.8181818181818182,18.181818181818183,81.81818181818183,156.76545454545456,25.095454545454547,0.7899645493395493,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4800_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4101,22,1,21,1,0.045454545454545456,0.045454545454545456,0.9545454545454546,4.545454545454546,95.45454545454545,132.0459090909091,22.677272727272722,0.8754906322904857,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4101_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4640,21,1,20,1,0.047619047619047616,0.047619047619047616,0.9523809523809523,4.761904761904762,95.23809523809523,144.87999999999997,24.196666666666665,0.8781903502141597,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4640_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4190,21,0,21,0,0.0,0.0,1.0,0.0,100.0,132.78666666666666,19.820476190476192,0.8732920518634805,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4190_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4980,21,0,21,0,0.0,0.0,1.0,0.0,100.0,77.50904761904762,26.66190476190476,0.7658043015185872,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4980_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6280,21,0,21,0,0.0,0.0,1.0,0.0,100.0,166.53238095238098,26.25904761904762,0.8902014824375073,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6280_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4199,19,2,17,2,0.10526315789473684,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,179.8342105263158,24.544736842105266,0.8421140263245527,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4199_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4490,19,0,19,0,0.0,0.0,1.0,0.0,100.0,186.30210526315787,26.16842105263158,0.8721428183461749,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4490_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4015,18,2,16,2,0.1111111111111111,0.1111111111111111,0.8888888888888888,11.11111111111111,88.88888888888889,126.43388888888889,23.728333333333335,0.7926377187129874,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4015_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4470,18,1,17,1,0.05555555555555555,0.05555555555555555,0.9444444444444444,5.555555555555555,94.44444444444444,150.065,29.194999999999993,0.8430857481736455,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4470_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4017,17,2,15,2,0.11764705882352941,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,123.46058823529411,23.83823529411765,0.7623634138340021,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4017_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4110,17,2,15,2,0.11764705882352941,0.11764705882352941,0.8823529411764706,11.76470588235294,88.23529411764706,132.54764705882354,23.814117647058822,0.7762854792266557,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4110_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4016,16,0,16,0,0.0,0.0,1.0,0.0,100.0,145.33375,18.521250000000002,0.888489115051615,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4016_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4108,15,3,12,3,0.2,0.2,0.8,20.0,80.0,99.25600000000001,30.22733333333333,0.8249735449735451,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4108_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4147,15,0,15,0,0.0,0.0,1.0,0.0,100.0,119.95666666666669,20.993999999999993,0.9065295815295815,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4147_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4225,15,0,15,0,0.0,0.0,1.0,0.0,100.0,121.12200000000001,18.64,0.8168677768677769,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4225_churn.csv
