operating_point,variant,model,train_data,threshold,feature,baseline_f1,baseline_recall,baseline_precision,permuted_f1_mean,permuted_f1_std,f1_importance,recall_importance,precision_importance
recall_heavy,with_billing_zip,CatBoost_original_balanced,original,0.34,suspended_revenue_interaction,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.1301479662393878,0.0019377388214290425,0.0015704289157976725,0.015290519877675823,0.0008087521047904223
recall_heavy,with_billing_zip,CatBoost_original_balanced,original,0.34,inactive_rate,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.1301901253606777,0.0006223130534971725,0.001528269794507764,0.06422018348623848,0.0003516375846449038
recall_heavy,with_billing_zip,CatBoost_original_balanced,original,0.34,Billing_ZIP_frequency,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.13025503736952182,0.0015461577010563775,0.0014633577856636437,0.012232415902140747,0.0007700060375446655
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,Billing_ZIP,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.13911223842543208,0.0037702703169410928,0.013450336068012492,0.042813455657492394,0.007924892944965914
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,revenue_engagement_interaction,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14141138072254886,0.015408267729110877,0.011151193770895712,0.1559633027522936,0.0030960014079921966
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,arpu_risk_interaction,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14154519543537988,0.0014608001896259674,0.011017379058064686,0.07033639143730885,0.005669082967707059
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,ARPU_sqrt,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.1436641323195945,0.0024580998880250984,0.00889844217385008,0.03669724770642202,0.005058424165922351
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,AvgMobileRevenue_sqrt,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14665392467859564,0.0025556048489914136,0.005908649814848926,0.04587155963302758,0.0028540199903351743
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,ARPU,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14668232111716964,0.00013942455742705796,0.00588025337627493,0.00917431192660556,0.0036711333209797775
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,revenue_per_active_subscriber,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14669299009445277,0.003019810557449276,0.005869584398991795,0.021406727828746197,0.0033976556743874203
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,CRM_PID_Value_Segment,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.1467426885257257,0.001619143583380782,0.005819885967718874,0.01834862385321101,0.0034338214808522782
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,inactive_revenue_interaction,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14679260133805586,0.003385409392775532,0.0057699731553887135,0.01834862385321101,0.0034008826492702565
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,Billing_ZIP_frequency,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14679739869110553,0.0020931557315075284,0.00576517580233904,0.015290519877675823,0.0034637129665611582
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,mobile_revenue_per_subscriber,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.1471828102064068,0.0046204839135871876,0.005379764287037764,0.021406727828746308,0.0030751567260534213
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,AvgMobileRevenue,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14741011696623976,0.00411634953839104,0.005152457527204807,0.05504587155963303,0.002115222226754629
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,TotalRevenue_log,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.147437000580108,0.003047100556270438,0.005125573913336567,0.024464831804281384,0.0028387687889072366
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,revenue_per_subscriber,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.1476227267304955,0.000636309208133951,0.004939847762949062,0.012232415902140747,0.002987646336167951
tuned_best_f1,with_billing_zip,BalancedBagging_original,original,0.5,CRM_PID_Value_Segment_frequency,0.15256257449344457,0.5871559633027523,0.08767123287671233,0.14840816093005363,0.0025758099829830505,0.004154413563390941,0.021406727828746197,0.0022651118933450093
