variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,EasyEnsemble_original,original,0.44,0.13154172560113153,0.8532110091743119,0.07126436781609195,0.2720806164789567,0.5425750863362054,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.050016735658989994,93,1212,16,366
with_billing_zip,EasyEnsemble_original,original,0.43,0.1278538812785388,0.8990825688073395,0.06882022471910113,0.2074688796680498,0.5293891931489169,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0398337816361575,98,1326,11,252
with_billing_zip,EasyEnsemble_original,original,0.39,0.12226584408300617,1.0,0.06511350059737156,0.07231772377000593,0.5041191381495564,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.02316080760085005,109,1565,0,13
with_billing_zip,EasyEnsemble_original,original,0.38,0.12192393736017897,1.0,0.06491959499702203,0.06935388263189093,0.5025348542458808,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.01814175906680867,109,1570,0,8
with_billing_zip,EasyEnsemble_original,original,0.37,0.1218557853549469,1.0,0.06488095238095239,0.06876111440426794,0.5022179974651457,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.01696501033994349,109,1571,0,7
with_billing_zip,EasyEnsemble_original,original,0.36,0.12171970965940815,1.0,0.06480380499405469,0.06757557794902193,0.5015842839036755,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.014329523728931773,109,1573,0,5
with_billing_zip,EasyEnsemble_original,original,0.4,0.12169014084507042,0.9908256880733946,0.06482593037214886,0.07587433313574392,0.5017499796513994,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.007760373017058201,108,1558,1,20
with_billing_zip,EasyEnsemble_original,original,0.35,0.12165178571428571,1.0,0.0647653000594177,0.06698280972139893,0.5012674271229405,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.012812907392210521,109,1574,0,4
with_billing_zip,EasyEnsemble_original,original,0.34,0.12151616499442586,1.0,0.06468842729970327,0.06579727326615294,0.5006337135614702,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.009054715197067445,109,1576,0,2
with_billing_zip,EasyEnsemble_original,original,0.32,0.12144846796657381,1.0,0.06465005931198102,0.06520450503852994,0.5003168567807351,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.006400751466496426,109,1577,0,1
with_billing_zip,EasyEnsemble_original,original,0.33,0.12144846796657381,1.0,0.06465005931198102,0.06520450503852994,0.5003168567807351,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.006400751466496426,109,1577,0,1
with_billing_zip,EasyEnsemble_original,original,0.05,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.06,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.07,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.08,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.09,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.1,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.11,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.12,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.13,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
