fold,objective,case_label,variant,model,train_kind,preprocess,valid_rows,valid_positives,threshold,f1,f2,recall,precision,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,contact_rate,net_value
2,Recall_XGBoost,Recall_XGBoost_weighted_no_zip,without_billing_zip,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,encoded,1687,109,0.3,0.13208805870580387,0.2710843373493976,0.908256880733945,0.07122302158273382,0.5450663364379484,0.5696532598458157,0.0794007285169841,0.05817861441326966,99,1291,10,287,0.8239478363959691,165840.0
2,Recall_operating,Recall_CatBoost_balanced,with_billing_zip,CatBoost_original_balanced,original,encoded,1687,109,0.34,0.1276595744680851,0.2556299452221546,0.7706422018348624,0.0695940347970174,0.5294909361519052,0.5460924872966594,0.08782626341086155,0.0321374230093385,84,1123,25,455,0.7154712507409603,137400.0
2,Cost,Cost_CatBoost_native,with_billing_zip,CatBoost_native_categorical,native_categorical,native,1687,109,0.35,0.13165680473372782,0.26503871351995234,0.8165137614678899,0.07160096540627514,0.5426041557656306,0.5520953244729712,0.0746730891007585,0.047568741155711254,89,1154,20,424,0.7368109069353883,149880.0
2,F2,F2_BalancedBagging_original,with_billing_zip,BalancedBagging_original,original,encoded,1687,109,0.5,0.14565826330532214,0.24975984630163303,0.47706422018348627,0.0859504132231405,0.5633103103452286,0.5936413530075232,0.08617155631811063,0.06490525623581858,52,553,57,1025,0.35862477771191464,102120.0
2,Precision,Precision_LR_SMOTE_C0.1,with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,encoded,1687,109,0.51,0.08527131782945736,0.09401709401709402,0.10091743119266056,0.0738255033557047,0.5067324798548855,0.5679643259962094,0.07647616734761777,0.01166542335827894,11,138,98,1440,0.08832246591582692,19080.0
2,Small_campaign,SmallCampaign_LR_SMOTE,with_billing_zip,LogisticRegression_SMOTE,resampled,encoded,1687,109,0.46,0.09844559585492228,0.1332398316970547,0.1743119266055046,0.06859205776173286,0.5054069138730946,0.5644411111498704,0.07683557059840893,0.007176236699496155,19,258,90,1320,0.16419679905157084,30600.0
3,F1_MCC,F1_BalancedBagging_tuned,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,encoded,1687,109,0.51,0.1274074074074074,0.21457085828343314,0.3944954128440367,0.07597173144876325,0.531531610097557,0.5573685189707096,0.07960622762674832,0.03283461057672256,43,523,66,1055,0.33550681683461764,76560.0
3,Recall,Recall_HistGradientBoosting,with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,encoded,1687,109,0.19,0.12890874282067646,0.2666314677930306,0.926605504587156,0.06927297668038408,0.5333281008360368,0.551577888629202,0.08101546323614317,0.047842163122679096,101,1357,8,221,0.8642560758743332,164400.0
3,Recall_XGBoost,Recall_XGBoost_weighted_no_zip,without_billing_zip,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,encoded,1687,109,0.3,0.12639894667544438,0.2600216684723727,0.8807339449541285,0.06808510638297872,0.5240171625911327,0.5729090359414426,0.08956236789143511,0.03187638043614905,96,1314,13,264,0.8358032009484292,153360.0
3,Recall_operating,Recall_CatBoost_balanced,with_billing_zip,CatBoost_original_balanced,original,encoded,1687,109,0.34,0.12620638455827765,0.25388291517323774,0.7798165137614679,0.06865912762520193,0.5245723886931547,0.5550691271031732,0.0842250490624091,0.027337615298809306,85,1153,24,425,0.7338470657972732,137040.0
3,Cost,Cost_CatBoost_native,with_billing_zip,CatBoost_native_categorical,native_categorical,native,1687,109,0.35,0.12741589119541877,0.2581206496519722,0.8165137614678899,0.06909937888198758,0.5283456006325508,0.5639149544772735,0.08696913234479053,0.032797295188439726,89,1199,20,379,0.7634854771784232,144480.0
3,F2,F2_BalancedBagging_original,with_billing_zip,BalancedBagging_original,original,encoded,1687,109,0.5,0.13237063778580024,0.2374784110535406,0.5045871559633027,0.07617728531855955,0.5409501052313346,0.5623684608318509,0.08954812541271857,0.040692981477547706,55,667,54,911,0.42797866034380555,98160.0
3,Precision,Precision_LR_SMOTE_C0.1,with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,encoded,1687,109,0.51,0.10181818181818182,0.11627906976744186,0.12844036697247707,0.08433734939759036,0.5160579528145022,0.5712724270648015,0.0896799973328452,0.026507469504944054,14,152,95,1426,0.0983995257854179,27120.0
3,Small_campaign,SmallCampaign_LR_SMOTE,with_billing_zip,LogisticRegression_SMOTE,resampled,encoded,1687,109,0.46,0.12339331619537275,0.16759776536312848,0.22018348623853212,0.08571428571428572,0.5289764072510785,0.5746793641934396,0.08318595618956236,0.03829263186020182,24,256,85,1322,0.16597510373443983,47040.0
4,F1_MCC,F1_BalancedBagging_tuned,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,encoded,1687,109,0.51,0.15050651230101303,0.2554027504911591,0.47706422018348627,0.08934707903780069,0.570598016302136,0.5797490726852014,0.10065801634478085,0.073020804079439,52,530,57,1048,0.34499110847658565,104880.0
4,Recall,Recall_HistGradientBoosting,with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,encoded,1687,109,0.19,0.12483574244415244,0.2568956192536506,0.8715596330275229,0.06723283793347487,0.5181625795048894,0.5271450331972884,0.07069732609480922,0.024211846402426816,95,1318,14,260,0.8375815056312982,149640.0
4,Recall_XGBoost,Recall_XGBoost_weighted_no_zip,without_billing_zip,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,encoded,1687,109,0.3,0.12542144302090358,0.2569060773480663,0.8532110091743119,0.06768558951965066,0.520711968465483,0.5455983069964303,0.07666480630696187,0.026197061831439737,93,1281,16,297,0.8144635447540012,147600.0
4,Recall_operating,Recall_CatBoost_balanced,with_billing_zip,CatBoost_original_balanced,original,encoded,1687,109,0.34,0.12443778110944528,0.2498494882600843,0.7614678899082569,0.06775510204081632,0.5188835013546353,0.5710921966023652,0.08801866189526084,0.020820455937780525,83,1142,26,436,0.7261410788381742,131880.0
4,Cost,Cost_CatBoost_native,with_billing_zip,CatBoost_native_categorical,native_categorical,native,1687,109,0.35,0.1255539143279173,0.2528256989886972,0.7798165137614679,0.06827309236947791,0.522354391228009,0.5571941023941582,0.07938002565003296,0.024995612367768667,85,1160,24,418,0.7379964433906343,136200.0
4,F2,F2_BalancedBagging_original,with_billing_zip,BalancedBagging_original,original,encoded,1687,109,0.5,0.14987080103359174,0.2633969118982743,0.5321100917431193,0.08721804511278196,0.5737229799653493,0.5809583609492913,0.09146174954635233,0.07417599063068223,58,607,51,971,0.3941908713692946,115080.0
4,Precision,Precision_LR_SMOTE_C0.1,with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,encoded,1687,109,0.51,0.15447154471544716,0.16579406631762653,0.1743119266055046,0.1386861313868613,0.5497668631760095,0.6042487878047931,0.10540187166734585,0.08957996311190651,19,118,90,1460,0.08120924718435092,47400.0
4,Small_campaign,SmallCampaign_LR_SMOTE,with_billing_zip,LogisticRegression_SMOTE,resampled,encoded,1687,109,0.46,0.16847826086956522,0.22302158273381295,0.28440366972477066,0.11969111969111969,0.5699584888547807,0.6073127056662132,0.10968968084314895,0.09541643324561959,31,228,78,1350,0.15352697095435686,73080.0
5,F1_MCC,F1_BalancedBagging_tuned,with_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,encoded,1687,109,0.51,0.12460063897763578,0.20461699895068206,0.3577981651376147,0.07543520309477757,0.5274415413774258,0.5585312961477192,0.0880532110751377,0.029266247664100326,39,478,70,1100,0.3064611736810907,69000.0
5,Recall,Recall_HistGradientBoosting,with_billing_zip,HistGradientBoosting_balanced_lr0.03,original,encoded,1687,109,0.19,0.11717709720372836,0.2405686167304538,0.8073394495412844,0.06317300789662599,0.4901716259113266,0.524063673678213,0.08059391377690986,-0.012738819937872544,88,1305,21,273,0.8257261410788381,128520.0
5,Recall_XGBoost,Recall_XGBoost_weighted_no_zip,without_billing_zip,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,encoded,1687,109,0.3,0.12342215988779803,0.2509982886480319,0.8073394495412844,0.06681852695520121,0.5142527412471948,0.5328484552505204,0.07366267731793276,0.01693563149853968,88,1229,21,349,0.7806757557794902,137640.0
5,Recall_operating,Recall_CatBoost_balanced,with_billing_zip,CatBoost_original_balanced,original,encoded,1687,109,0.34,0.11682242990654206,0.23277467411545624,0.6880733944954128,0.06382978723404255,0.4954942384390879,0.5303397634911222,0.0762461891680897,-0.004818490820572824,75,1100,34,478,0.6965026674570243,111000.0
5,Cost,Cost_CatBoost_native,with_billing_zip,CatBoost_native_categorical,native_categorical,native,1687,109,0.35,0.12849584278155707,0.25757575757575757,0.7798165137614679,0.0700164744645799,0.5321769514307974,0.5483889722212533,0.07554177544475765,0.03522100348233768,85,1129,24,449,0.7196206283343213,139920.0
5,F2,F2_BalancedBagging_original,with_billing_zip,BalancedBagging_original,original,encoded,1687,109,0.5,0.13550135501355012,0.2347417840375587,0.45871559633027525,0.0794912559618442,0.5458977221195103,0.5680079301403472,0.08316643510190985,0.04666805701272462,50,579,59,999,0.37285121517486663,92520.0
5,Precision,Precision_LR_SMOTE_C0.1,with_billing_zip,LogisticRegression_SMOTE_C0.1,resampled,encoded,1687,109,0.51,0.10108303249097472,0.11589403973509933,0.12844036697247707,0.08333333333333333,0.5154242392530319,0.5850338949547098,0.08699830173793235,0.025326021396285252,14,154,95,1424,0.0995850622406639,26880.0
5,Small_campaign,SmallCampaign_LR_SMOTE,with_billing_zip,LogisticRegression_SMOTE,resampled,encoded,1687,109,0.46,0.12531328320802004,0.1721763085399449,0.22935779816513763,0.08620689655172414,0.5307118521877653,0.578359553958675,0.0844501396220602,0.04002262327453105,25,265,84,1313,0.17190278601066983,49200.0
