variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.26,0.12131715771230503,0.25510204081632654,0.963302752293578,0.06473489519112208,0.0983995257854179,0.5009796397716305,0.5841240218136998,0.10114705953618708,0.0025025401229649084,105,1517,4,61,0.9614700652045051
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.27,0.12159814707585408,0.2555988315481986,0.963302752293578,0.06489493201483312,0.1007705986959099,0.502247066894571,0.5841240218136998,0.10114705953618708,0.005578262425631279,105,1513,4,65,0.9590989922940131
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.28,0.12237762237762238,0.25697503671071953,0.963302752293578,0.06533914125700062,0.10729104919976289,0.5057324914826572,0.5841240218136998,0.10114705953618708,0.013261334518594377,105,1502,4,76,0.95257854179016
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.29,0.12149532710280374,0.25502697400686614,0.9541284403669725,0.06487835308796007,0.1084765856550089,0.5020959058615597,0.5841240218136998,0.10114705953618708,0.004737640603101964,104,1499,5,79,0.950207468879668
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.3,0.12192262602579132,0.2557796360059026,0.9541284403669725,0.06512210394489668,0.11203319502074689,0.5039970465459704,0.5841240218136998,0.10114705953618708,0.008745048793057085,104,1493,5,85,0.94665085951393
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.31,0.12249705535924617,0.25679012345679014,0.9541284403669725,0.06544996853366897,0.11677534084173088,0.5065319007918513,0.5841240218136998,0.10114705953618708,0.013729709160029956,104,1485,5,93,0.941908713692946
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.32,0.12189349112426036,0.2553296975706495,0.944954128440367,0.06514864010120178,0.12033195020746888,0.5041627422936943,0.5841240218136998,0.10114705953618708,0.0084344623114171,103,1478,6,100,0.9371665678719621
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.33,0.12283840190816935,0.2569860279441118,0.944954128440367,0.06568877551020408,0.12803793716656786,0.5082818804432506,0.5841240218136998,0.10114705953618708,0.015903004834160385,103,1465,6,113,0.9294605809128631
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.34,0.12394705174488568,0.25892408245349424,0.944954128440367,0.06632324533161622,0.13692946058091288,0.5130347321542773,0.5841240218136998,0.10114705953618708,0.0237006757361131,103,1450,6,128,0.920569057498518
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.35,0.12477286493034524,0.2603640040444894,0.944954128440367,0.06679636835278858,0.14344991108476585,0.5165201567423634,0.5841240218136998,0.10114705953618708,0.02897908839909427,103,1439,6,139,0.9140486069946651
